iter	Logloss
0	0.677155053
1	0.6631684439
2	0.6468317721
3	0.6323487485
4	0.6212769879
5	0.6089322428
6	0.5977232658
7	0.5890638294
8	0.5822464235
9	0.5732679342
10	0.5645808307
11	0.5573100383
12	0.550740732
13	0.5453874843
14	0.5404199829
15	0.5362906248
16	0.5305986603
17	0.5264462822
18	0.5227901034
19	0.5194371003
20	0.5161811253
21	0.5129220524
22	0.5096099258
23	0.506041094
24	0.5028578795
25	0.5003686212
26	0.4987344162
27	0.496225236
28	0.4942449994
29	0.4914765322
30	0.4891447135
31	0.4865402692
32	0.4852866042
33	0.4831590827
34	0.4815262115
35	0.4793800589
36	0.4776304526
37	0.4765408105
38	0.4747605683
39	0.4737724724
40	0.4721652029
41	0.4707990626
42	0.4696506441
43	0.4674197693
44	0.4662867118
45	0.4652208642
46	0.463971545
47	0.4625668516
48	0.4610918934
49	0.4595370751
50	0.4579106581
51	0.4572470366
52	0.4563275704
53	0.4551583694
54	0.4543816272
55	0.453997688
56	0.4531087287
57	0.4519038575
58	0.4512886855
59	0.4501998179
60	0.4495821074
61	0.4487395322
62	0.4482507337
63	0.4476786329
64	0.4469583434
65	0.4457652189
66	0.4448753559
67	0.4442437903
68	0.4434907136
69	0.4425056296
70	0.441180538
71	0.4406147193
72	0.440313523
73	0.4395240445
74	0.4387525517
75	0.437993537
76	0.437418166
77	0.4362142414
78	0.4353428806
79	0.4348012866
80	0.434060774
81	0.4332868286
82	0.4323711489
83	0.4314841688
84	0.4306523507
85	0.4297449324
86	0.4286614863
87	0.4278624555
88	0.4270709117
89	0.4262760116
90	0.4259362622
91	0.4251506562
92	0.4247544971
93	0.4243249481
94	0.4229068729
95	0.421932546
96	0.4212465069
97	0.4199114328
98	0.41892196
99	0.4183239132
100	0.4177949265
101	0.4171414596
102	0.4166259406
103	0.4161310321
104	0.4154699923
105	0.4148525399
106	0.4144031981
107	0.4137905648
108	0.4135320093
109	0.4128712707
110	0.4123445644
111	0.4114992785
112	0.410930706
113	0.4104878614
114	0.4096189531
115	0.4088723306
116	0.4085806004
117	0.4080646082
118	0.4076044663
119	0.4069790537
120	0.4064983014
121	0.4060071793
122	0.4050335408
123	0.4045268426
124	0.4040156694
125	0.4032645719
126	0.4026630399
127	0.4019098341
128	0.4012665218
129	0.4003730445
130	0.3995135594
131	0.3983060204
132	0.3976028992
133	0.3971215445
134	0.3960142609
135	0.3955524839
136	0.3943297991
137	0.3935353724
138	0.3930573738
139	0.3926486935
140	0.392136918
141	0.3917665326
142	0.3909749457
143	0.3901384376
144	0.3897502386
145	0.3890809804
146	0.3885914074
147	0.3883927469
148	0.3876604526
149	0.3869762207
150	0.3863129004
151	0.3857434243
152	0.3854312559
153	0.3847033935
154	0.3839114624
155	0.3832565326
156	0.3829034445
157	0.3822987284
158	0.3816156152
159	0.3810708372
160	0.3806314778
161	0.3802426764
162	0.3795977721
163	0.3786463791
164	0.3777658963
165	0.3772048106
166	0.3764569833
167	0.3760541978
168	0.3756826506
169	0.3750318945
170	0.3740964649
171	0.3736188536
172	0.3728575585
173	0.3719739346
174	0.3710484875
175	0.3701204157
176	0.3692422994
177	0.3681824757
178	0.3676491432
179	0.3671883559
180	0.3662379955
181	0.3656538468
182	0.3651366497
183	0.3643419218
184	0.3633589892
185	0.3625799235
186	0.3617003443
187	0.3607080961
188	0.3600113
189	0.3593378036
190	0.3586760754
191	0.3579210193
192	0.3571887681
193	0.3561585477
194	0.3556363163
195	0.3548374147
196	0.3539614713
197	0.353079418
198	0.3520078046
199	0.3512195524
200	0.3508574929
201	0.3499304968
202	0.3490421614
203	0.3480909405
204	0.3476089188
205	0.3467351914
206	0.3456093627
207	0.3450691671
208	0.3443038704
209	0.3433735826
210	0.3430573265
211	0.3420864848
212	0.3411761836
213	0.3402415284
214	0.3391304153
215	0.3378672626
216	0.3367174028
217	0.3357822743
218	0.3350633188
219	0.3340536443
220	0.3332428669
221	0.3322029221
222	0.3314110556
223	0.3308968059
224	0.329976264
225	0.3292565555
226	0.32804125
227	0.3273599224
